Date,Event,Distance,Entered?,Result,Position
28-Oct-2012,<a href='http://www.serpentine.org.uk/pages/duathlon.html'>Jeckyl & Hyde Park Halloween Duathlon</a>,7.6k/20.8k/4.2k,Yes,1:20:54,31/178
10-Mar-2013,<a href='http://www.onestepbeyond.org.uk/news/category/cambridge-half-marathon/'>Cambridge Half Marathon</a>,21.1k,Yes,01:30:54,224/3391
24-Mar-2013,<a href='http://www.trionium.com/leithhillhalf/inmain.html'>Leith Hill Half Marathon</a>,21.1k,Yes,01:46:16,38/231
29-Mar-2013,<a href='http://www.hounslowanddistrictwheelers.co.uk/tag/good-friday/'>Good Friday 25M TT</a>,40k,Yes,01:07:10,14/31
27-Apr-2013,<a href='http://en.mallorca312.com/route/mallorca-312-iberostar-playa-de-muro.html'>Mallorca 312-Iberostar Playa de Muro</a>,312k,Yes,11:45:00,95/410
12-May-2013,<a href='http://www.thetriproject.co.uk/casestudies/view/thorpe-sprint-southeast-series-2012'>Thorpe Sprint Tri</a>,750m/20k/5k,Yes,01:15:19,35/168
02-Jun-2013,<a href='http://www.dengieevents.co.uk/fambridge-yacht-haven-tri/4543261097'>Fambridge Yacht Haven Half Iron Triathlon</a>,1.9k/90k/18k,Yes,04:57:02,22/167
16-Jun-2013,<a href='http://www.humanrace.co.uk/windsor/'>Windsor olympic tri</a>,1.5k/42k/10k,Yes,02:21:39,81/1442
14-Jul-2013,<a href='http://www.challenge-roth.com/en/'>Challenge Roth</a>,3.8k/180k/42.2k,Yes,10:46:52,881/2506
27-Jul-2013,<a href='http://www.thelondontriathlon.co.uk/'>London Triathlon</a>,1.5k/42k/10k,Yes,02:33:59,1242/4590
04-Aug-2013,<a href='http://www.prudentialridelondon.co.uk/'>Ride London-Surrey 100</a>,162k,Yes,04:28:49,???/12160
18-Aug-2013,<a href='http://www.thetriproject.co.uk/casestudies/view/thorpe-sprint-southeast-series-2012'>Thorpe Sprint Race 4</a>,750m/20k/5k,Yes,01:11:51,30/198
25-Aug-2013,<a href='http://www.arundelscouts.org.uk/'>Arundel 10k</a>,10k,Yes,00:42:02,37/563
